 #  --- orbit numbers ---
 #   idx      n,   l,  2j,  2tz
 #     1      0    5    9   -1
 #     2      1    3    7   -1
 #     3      1    3    5   -1
 #     4      2    1    3   -1
 #     5      2    1    1   -1
 #     6      0    6   13   -1
 #     7      0    6   11    1
 #     8      1    4    9    1
 #     9      1    4    7    1
 #    10      2    2    5    1
 #    11      2    2    3    1
 #    12      3    0    1    1
 #    13      0    7   15    1

 # rank   0 parity  -1

 # R0 reduced metrix element
 # of elements =     5

w.f.  J1=  9/2(    1)     J2=  9/2(    1)
 B(R0;=>), B(R0 ;<=)      0.00000     0.00000
 <||R0||>      1    1     0.00000     0.00000

  i  j      OBTD    <i||R0||j>  OBTD*<||>
  1  8     0.26613     0.00000     0.00000
  2  9    -0.01834     0.00000    -0.00000
  3 10     0.01359     0.00000     0.00000
  4 11    -0.00410     0.00000    -0.00000
  5 12     0.00326     0.00000     0.00000



