 #  --- orbit numbers ---
 #   idx      n,   l,  2j,  2tz
 #     1      0    5    9   -1
 #     2      1    3    7   -1
 #     3      1    3    5   -1
 #     4      2    1    3   -1
 #     5      2    1    1   -1
 #     6      0    6   13   -1
 #     7      0    6   11    1
 #     8      1    4    9    1
 #     9      1    4    7    1
 #    10      2    2    5    1
 #    11      2    2    3    1
 #    12      3    0    1    1
 #    13      0    7   15    1

 # rank   1 parity  -1

 # R1 reduced metrix element
 # of elements =    15

w.f.  J1= 11/2(    1)     J2=  9/2(    1)
 B(R1;=>), B(R1 ;<=)      0.00000     0.00000
 <||R1||>      1    1     0.00000     0.00000

  i  j      OBTD    <i||R1||j>  OBTD*<||>
  1  7     0.36407     0.00000     0.00000
  1  8     0.00391     0.00000     0.00000
  1  9     0.01038     0.00000     0.00000
  2  8     0.00667     0.00000     0.00000
  2  9     0.01261     0.00000     0.00000
  2 10     0.01008     0.00000     0.00000
  3  9     0.01851     0.00000     0.00000
  3 10    -0.00087     0.00000    -0.00000
  3 11     0.00286     0.00000     0.00000
  4 10     0.00301     0.00000     0.00000
  4 11     0.00285     0.00000     0.00000
  4 12     0.00207     0.00000     0.00000
  5 11     0.00344     0.00000     0.00000
  5 12    -0.00104     0.00000    -0.00000
  6 13     0.03042     0.00000     0.00000



