 #  --- orbit numbers ---
 #   idx      n,   l,  2j,  2tz
 #     1      0    5    9   -1
 #     2      1    3    7   -1
 #     3      1    3    5   -1
 #     4      2    1    3   -1
 #     5      2    1    1   -1
 #     6      0    6   13   -1
 #     7      0    6   11    1
 #     8      1    4    9    1
 #     9      1    4    7    1
 #    10      2    2    5    1
 #    11      2    2    3    1
 #    12      3    0    1    1
 #    13      0    7   15    1

 # rank   2 parity  -1

 # R2 reduced metrix element
 # of elements =    21

w.f.  J1= 11/2(    1)     J2=  9/2(    1)
 B(R2;=>), B(R2 ;<=)      0.00000     0.00000
 <||R2||>      1    1     0.00000     0.00000

  i  j      OBTD    <i||R2||j>  OBTD*<||>
  1  7    -0.24173     0.00000    -0.00000
  1  8    -0.01320     0.00000    -0.00000
  1  9    -0.01536     0.00000    -0.00000
  1 10     0.00060     0.00000     0.00000
  2  7     0.03586     0.00000     0.00000
  2  8     0.03166     0.00000     0.00000
  2  9    -0.00266     0.00000    -0.00000
  2 10     0.00345     0.00000     0.00000
  2 11    -0.00300     0.00000    -0.00000
  3  8     0.00143     0.00000     0.00000
  3  9    -0.00900     0.00000    -0.00000
  3 10    -0.00157     0.00000    -0.00000
  3 11    -0.00133     0.00000    -0.00000
  3 12    -0.00029     0.00000    -0.00000
  4  9     0.00450     0.00000     0.00000
  4 10     0.00122     0.00000     0.00000
  4 11    -0.00009     0.00000    -0.00000
  4 12     0.00034     0.00000     0.00000
  5 10     0.00000     0.00000     0.00000
  5 11    -0.00163     0.00000    -0.00000
  6 13     0.00878     0.00000     0.00000



