 #  --- orbit numbers ---
 #   idx      n,   l,  2j,  2tz
 #     1      0    5    9   -1
 #     2      1    3    7   -1
 #     3      1    3    5   -1
 #     4      2    1    3   -1
 #     5      2    1    1   -1
 #     6      0    6   13   -1
 #     7      0    6   11    1
 #     8      1    4    9    1
 #     9      1    4    7    1
 #    10      2    2    5    1
 #    11      2    2    3    1
 #    12      3    0    1    1
 #    13      0    7   15    1

 # rank   2 parity  -1

 # R2 reduced metrix element
 # of elements =    21

w.f.  J1=  9/2(    1)     J2=  9/2(    1)
 B(R2;=>), B(R2 ;<=)      0.00000     0.00000
 <||R2||>      1    1     0.00000     0.00000

  i  j      OBTD    <i||R2||j>  OBTD*<||>
  1  7     0.01272     0.00000     0.00000
  1  8     0.26373     0.00000     0.00000
  1  9    -0.01355     0.00000    -0.00000
  1 10     0.02840     0.00000     0.00000
  2  7    -0.01018     0.00000    -0.00000
  2  8    -0.01356     0.00000    -0.00000
  2  9    -0.00150     0.00000    -0.00000
  2 10     0.00638     0.00000     0.00000
  2 11    -0.00697     0.00000    -0.00000
  3  8     0.00337     0.00000     0.00000
  3  9     0.00285     0.00000     0.00000
  3 10     0.00758     0.00000     0.00000
  3 11     0.00006     0.00000     0.00000
  3 12     0.00281     0.00000     0.00000
  4  9    -0.00210     0.00000    -0.00000
  4 10    -0.00018     0.00000    -0.00000
  4 11    -0.00065     0.00000    -0.00000
  4 12     0.00164     0.00000     0.00000
  5 10     0.00147     0.00000     0.00000
  5 11     0.00136     0.00000     0.00000
  6 13    -0.00314     0.00000    -0.00000



